Owner,Player
DB,A.J. Green
DB,Byron Jones
DB,C.J. Mosley
DB,Chandler Jones
DB,Damarious Randall
DB,DeAndre Hopkins
DB,Ed Dickson
DB,Eric Kendricks
DB,Everson Griffen
DB,Frank Gore
DB,Greg Olsen
DB,Hunter Henry
DB,James Bradberry
DB,Jason Pierre-Paul
DB,Jason Witten
DB,Julio Jones
DB,Kelvin Benjamin
DB,Kenny Vaccaro
DB,Lamar Miller
DB,Mario Addison
DB,Melvin Gordon
DB,Rob Kelley
DB,Robbie Gould
DB,Russell Wilson
DB,Tahir Whitehead
JR,Bilal Powell
JR,Blake Martinez
JR,Cameron Brate
JR,Dez Bryant
JR,Dion Lewis
JR,Doug Baldwin
JR,Drew Brees
JR,E.J. Gaines
JR,Fletcher Cox
JR,Jabaal Sheard
JR,Jalen Ramsey
JR,Jason McCourty
JR,Lardarius Webb
JR,Marcus Peters
JR,Mark Ingram
JR,Marqise Lee
JR,Melvin Ingram
JR,Mike Hilton
JR,Orleans Darkwa
JR,Ryan Kerrigan
JR,Stephen Gostkowski
JR,T.J. Watt
JR,Tyrann Mathieu
JR,Von Miller
MW,Aaron Donald
MW,Aaron Jones
MW,Adrian Peterson
MW,Cameron Jordan
MW,Chris Boswell
MW,Derek Carr
MW,Deshaun Watson
MW,Devin McCourty
MW,Eric Ebron
MW,Jordan Howard
MW,Jordan Poyer
MW,JuJu Smith-Schuster
MW,Justin Tucker
MW,Keanu Neal
MW,Keenan Allen
MW,Kirk Cousins
MW,Kyle Van Noy
MW,Luke Kuechly
MW,Marvin Jones Jr.
MW,Matt Ryan
MW,Mohamed Sanu
MW,Myles Jack
MW,Ramon Humber
MW,Travis Kelce
MW,Vontaze Burfict
BT,Alfred Morris
BT,Cameron Wake
BT,Corey Davis
BT,Danny Woodhead
BT,DeVante Parker
BT,Demario Davis
BT,Jared Cook
BT,Jared Goff
BT,Javorius Allen
BT,Jay Ajayi
BT,Jordy Nelson
BT,Kai Forbath
BT,Khalil Mack
BT,Kyle Rudolph
BT,Latavius Murray
BT,Micah Hyde
BT,Michael Thomas
BT,Myles Garrett
BT,Nelson Agholor
