Date, Type, Player, Team ID, Source
2014-08-24, Add, LeSean McCoy, BT, Draft Pick
2014-08-24, Add, Jamaal Charles, TJ, Draft Pick
2014-08-24, Add, Matt Forte, CR, Draft Pick
2014-08-24, Add, Adrian Peterson, JC, Draft Pick
2014-08-24, Add, Eddie Lacy, MM, Draft Pick
2014-08-24, Add, DeMarco Murray, TP, Draft Pick
2014-08-24, Add, Giovani Bernard, DB, Draft Pick
2014-08-24, Add, Calvin Johnson, MP, Draft Pick
2014-08-24, Add, Marshawn Lynch, SC, Draft Pick
2014-08-24, Add, Aaron Rodgers, MW, Draft Pick
2014-08-24, Add, Dez Bryant, MW, Draft Pick
2014-08-24, Add, Brandon Marshall, SC, Draft Pick
2014-08-24, Add, Jimmy Graham, MP, Draft Pick
2014-08-24, Add, A.J. Green, DB, Draft Pick
2014-08-24, Add, Demaryius Thomas, TP, Draft Pick
2014-08-24, Add, Montee Ball, MM, Draft Pick
2014-08-24, Add, Peyton Manning, JC, Draft Pick
2014-08-24, Add, Drew Brees, CR, Draft Pick
2014-08-24, Add, Antonio Brown, TJ, Draft Pick
2014-08-24, Add, Julio Jones, BT, Draft Pick
2014-08-24, Add, Alshon Jeffrey, BT, Draft Pick
2014-08-24, Add, Matthew Stafford, TJ, Draft Pick
2014-08-24, Add, Randall Cobb, CR, Draft Pick
2014-08-24, Add, Jordy Nelson, JC, Draft Pick
2014-08-24, Add, Andrew Luck, MM, Draft Pick
2014-08-24, Add, Rob Gronkowski, TP, Draft Pick
2014-08-24, Add, Cam Newton, DB, Draft Pick
2014-08-24, Add, Alfred Morris, MP, Draft Pick
2014-08-24, Add, Russell Wilson, SC, Draft Pick
2014-08-24, Add, Reggie Bush, MW, Draft Pick
2014-08-24, Add, Chris Johnson, MW, Draft Pick
2014-08-24, Add, Andre Ellington, SC, Draft Pick
2014-08-24, Add, Arian Foster, MP, Draft Pick
2014-08-24, Add, C.J. Spiller, DB, Draft Pick
2014-08-24, Add, Matt Ryan, TP, Draft Pick
2014-08-24, Add, J.J. Watt, MM, Draft Pick
2014-08-24, Add, Zac Stacy, JC, Draft Pick
