Week,Team,Position,PID,Player
12,MM,QB,24788,Cam Newton
12,MM,WR,8256,Calvin Johnson
12,MM,WR,24171,Antonio Brown
12,MM,RB,25741,Doug Martin
12,MM,RB,8790,Jonathan Stewart
12,MM,TE,26686,Travis Kelce
12,MM,W/R/T,27619,John Brown
12,MM,BN,7206,Heath Miller
12,MM,BN,28461,Tevin Coleman
12,MM,BN,7149,Malcom Floyd
12,MM,BN,27531,Blake Bortles
12,MM,BN,26817,Spencer Ware
12,MM,K,9526,Graham Gano
12,MM,DB,27549,Ha Ha Clinton-Dix
12,MM,DB,24046,Morgan Burnett
12,MM,DB,8422,Corey Graham
12,MM,DL,8827,Calais Campbell
12,MM,DL,8337,Charles Johnson
12,MM,LB,9279,Brian Cushing
12,MM,LB,24030,Sean Lee
12,MM,LB,28433,Eric Kendricks
12,MM,BN,27040,Paul Worrilow
12,MM,BN,24151,Greg Hardy
12,MM,BN,24790,Marcell Dareus
12,MM,IR,9010,Justin Forsett
12,DB,QB,25785,Russell Wilson
12,DB,WR,26650,DeAndre Hopkins
12,DB,WR,7868,Brandon Marshall
12,DB,RB,25807,Lamar Miller
12,DB,RB,8821,Matt Forte
12,DB,TE,9444,Zach Miller
12,DB,W/R/T,8801,Chris Johnson
12,DB,BN,27874,Allen Hurns
12,DB,BN,24070,Jimmy Graham
12,DB,BN,8838,Martellus Bennett
12,DB,BN,28494,Jeremy Langford
12,DB,BN,24035,Golden Tate
12,DB,K,7520,Robbie Gould
12,DB,DB,25853,Josh Norman
12,DB,DB,26706,Logan Ryan
12,DB,DB,26638,Kenny Vaccaro
12,DB,DL,23977,Ndamukong Suh
12,DB,DL,26667,Kawann Short
12,DB,LB,27601,Preston Brown
12,DB,LB,27545,C.J. Mosley
12,DB,LB,23983,Rolando McClain
12,DB,BN,24336,Vincent Rey
12,DB,BN,28406,Marcus Peters
12,DB,BN,24801,Robert Quinn
12,DB,IR,9527,Arian Foster
12,MP,QB,6337,Carson Palmer
12,MP,WR,27535,Mike Evans
12,MP,WR,24791,A.J. Green
12,MP,RB,28398,Todd Gurley
12,MP,RB,9560,Danny Woodhead
12,MP,TE,6663,Antonio Gates
12,MP,W/R/T,28513,Javorius Allen
12,MP,BN,27583,Jeremy Hill
12,MP,BN,27581,Davante Adams
12,MP,BN,28534,Stefon Diggs
12,MP,BN,27570,Jordan Matthews
12,MP,BN,28543,Karlos Williams
12,MP,K,6558,Josh Brown
12,MP,DB,24109,Kam Chancellor
12,MP,DB,9319,William Moore
12,MP,DB,7182,Adam Jones
12,MP,DL,24798,J.J. Watt
12,MP,DL,24075,Everson Griffen
12,MP,LB,27672,Telvin Smith
12,MP,LB,25756,Mychal Kendricks
12,MP,LB,24066,NaVorro Bowman
12,MP,BN,25739,Harrison Smith
12,MP,BN,25898,Danny Trevathan
12,MP,BN,26636,Sheldon Richardson
12,MP,IR,27556,Kelvin Benjamin
12,TP,QB,5228,Tom Brady
12,TP,WR,23997,Demaryius Thomas
12,TP,WR,6762,Larry Fitzgerald
12,TP,RB,7241,Frank Gore
12,TP,RB,27946,Antonio Andrews
12,TP,TE,8285,Greg Olsen
12,TP,W/R/T,25755,Alshon Jeffery
12,TP,BN,24053,Brandon LaFell
12,TP,BN,27631,Devonta Freeman
12,TP,BN,24057,Emmanuel Sanders
12,TP,BN,28442,Ameer Abdullah
12,TP,K,28227,Cairo Santos
12,TP,DB,24002,Devin McCourty
12,TP,DB,9133,James Ihedigbo
12,TP,DB,26694,T.J. McDonald
12,TP,DL,24006,Jerry Hughes
12,TP,DL,24811,Cameron Jordan
12,TP,LB,7190,Thomas Davis
12,TP,LB,9299,James Laurinaitis
12,TP,LB,24886,K.J. Wright
12,TP,BN,24095,Geno Atkins
12,TP,BN,26727,Jelani Jenkins
12,TP,BN,28421,Landon Collins
12,TP,BN,9414,Jasper Brinkley
12,TP,IR,6624,Tony Romo
12,SC,QB,8780,Matt Ryan
12,SC,WR,24062,Eric Decker
12,SC,WR,24793,Julio Jones
12,SC,RB,8261,Adrian Peterson
12,SC,RB,26660,Giovani Bernard
12,SC,TE,7924,Delanie Walker
12,SC,W/R/T,9317,LeSean McCoy
12,SC,BN,8795,Joe Flacco
12,SC,BN,8826,DeSean Jackson
12,SC,BN,25730,Kendall Wright
12,SC,BN,6405,Jason Witten
12,SC,BN,9514,Rashad Jennings
12,SC,K,8447,Mason Crosby
12,SC,DB,24139,Reshad Jones
12,SC,DB,26656,Johnathan Cyprien
12,SC,DB,9359,Rashad Johnson
